name,result,truth,hyps,result2
1.0,0.0,0.0,0.19661536067724222,0.0
2.0,0.0,0.0,0.1730276495218277,0.0
3.0,0.0,0.0,0.2024893909692764,0.0
4.0,0.0,1.0,0.3306746482849121,0.0
5.0,0.0,1.0,0.3642683029174804,0.0
6.0,0.0,0.0,0.2940694987773895,0.0
7.0,0.0,0.0,0.2182006537914276,0.0
8.0,0.0,0.0,0.2552420794963836,0.0
9.0,0.0,1.0,0.3053848147392273,0.0
10.0,0.0,1.0,0.4036901891231537,0.0
11.0,0.0,1.0,0.2764537930488586,0.0
12.0,0.0,1.0,0.3916452825069427,0.0
13.0,0.0,0.0,0.36491002440452575,0.0
14.0,0.0,0.0,0.2233416736125946,0.0
15.0,0.0,0.0,0.451863944530487,0.0
16.0,1.0,1.0,0.6739997863769531,1.0
17.0,0.0,1.0,0.410711407661438,0.0
18.0,0.0,1.0,0.38319043815135956,0.0
0.0,0.0,0.0,0.0,0.0
20.0,0.0,1.0,0.3175485730171203,0.0
21.0,0.0,0.0,0.3108095526695251,0.0
22.0,0.0,0.0,0.2705374658107757,0.0
0.0,0.0,0.0,0.0,0.0
24.0,0.0,1.0,0.40059734384218854,0.0
25.0,0.0,1.0,0.2098341286182403,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
28.0,0.0,1.0,0.4149571061134338,0.0
29.0,0.0,0.0,0.2043862342834472,0.0
30.0,0.0,0.0,0.157224740833044,0.0
31.0,0.0,1.0,0.34007564187049866,0.0
32.0,0.0,1.0,0.2104923824469248,0.0
0.0,0.0,0.0,0.0,0.0
34.0,0.0,0.0,0.4354481101036072,0.0
35.0,0.0,1.0,0.45825448632240295,0.0
0.0,0.0,0.0,0.0,0.0
37.0,0.0,1.0,0.2516728639602661,0.0
38.0,0.0,1.0,0.2679095268249511,0.0
39.0,0.0,1.0,0.183539941906929,0.0
40.0,0.0,1.0,0.4958394467830658,0.0
0.0,0.0,0.0,0.0,0.0
42.0,0.0,0.0,0.3107534646987915,0.0
43.0,0.0,0.0,0.17174594476819036,0.0
44.0,0.0,0.0,0.2758440673351288,0.0
45.0,0.0,1.0,0.2186887512604395,0.0
46.0,0.0,1.0,0.2848581075668335,0.0
47.0,0.0,0.0,0.3701237440109253,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
50.0,0.0,0.0,0.3141491413116455,0.0
51.0,0.0,0.0,0.47924549877643585,0.0
52.0,0.0,0.0,0.3356271684169769,0.0
53.0,0.0,0.0,0.3365050554275512,0.0
54.0,0.0,0.0,0.1908074468374252,0.0
55.0,0.0,0.0,0.2429374903440475,0.0
56.0,0.0,0.0,0.19719373434782025,0.0
57.0,0.0,1.0,0.28256188333034515,0.0
58.0,0.0,1.0,0.1154616698622703,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
63.0,0.0,1.0,0.20174593478441236,0.0
64.0,0.0,1.0,0.4511713981628418,0.0
65.0,0.0,1.0,0.3023688644170761,0.0
0.0,0.0,0.0,0.0,0.0
67.0,0.0,1.0,0.33206509053707123,0.0
68.0,0.0,0.0,0.1962192952632904,0.0
69.0,0.0,0.0,0.4668728411197662,0.0
70.0,0.0,0.0,0.357260599732399,0.0
71.0,0.0,0.0,0.19755919277668,0.0
72.0,0.0,0.0,0.2743914723396301,0.0
73.0,0.0,0.0,0.29888751606146496,0.0
74.0,0.0,0.0,0.1511517912149429,0.0
75.0,0.0,0.0,0.1538840197026729,0.0
76.0,0.0,0.0,0.23223312944173807,0.0
77.0,0.0,0.0,0.2710983455181122,0.0
78.0,0.0,0.0,0.22431826591491694,0.0
79.0,0.0,0.0,0.40384525060653687,0.0
80.0,0.0,0.0,0.1821679919958114,0.0
81.0,0.0,0.0,0.351436123251915,0.0
82.0,0.0,0.0,0.2029167115688324,0.0
83.0,0.0,0.0,0.3945756554603576,0.0
84.0,0.0,0.0,0.4144943282008171,0.0
85.0,1.0,0.0,0.5004201531410217,1.0
86.0,0.0,0.0,0.23454227298498148,0.0
87.0,0.0,0.0,0.0915951654314994,0.0
88.0,0.0,0.0,0.2142618000507354,0.0
89.0,0.0,0.0,0.23925784975290296,0.0
90.0,0.0,0.0,0.2465948462486267,0.0
91.0,0.0,0.0,0.1771281063556671,0.0
92.0,0.0,0.0,0.2406388819217682,0.0
93.0,0.0,0.0,0.2433407083153724,0.0
94.0,0.0,0.0,0.1850602179765701,0.0
95.0,0.0,0.0,0.2319879382848739,0.0
96.0,0.0,0.0,0.2007432729005813,0.0
97.0,0.0,0.0,0.3986245393753052,0.0
98.0,0.0,0.0,0.2647410531838735,0.0
99.0,0.0,0.0,0.4253777861595154,0.0
100.0,0.0,0.0,0.24449915438890454,0.0
101.0,0.0,0.0,,0.0
