file,pause
data_process/CTT5-1-4/15CTT.wav,000000000000000000000000000000000001111111111111111101111101111111111110011111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111000000001111111111111111111111111100000000001111111111111111111111111000000011111111001111111111111110000000011111110011111101111111111111111111111111111111111111111111000000000011111111111111111100000000000000000000011111111111111111111111111111111111000000000000000000000000000001111111111111111111111111111111111111111111111111111111111100000000000000000000000000000000000111111111111111111111111111111111111111111111111111111000000111111111111111111111111111100111111111111111111111111111111111111111111111111111111111111111111100000000000000000000000000000011111100111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111100000000000001111111111111111111111111111111111111111111111111111111100000000000000000000000011111111111111111111111111111000011110000000111111110000000000000001111111111111111111111111000000000001111111100111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111110111110011111111111111111100000000000000111111111110111111111111111111111111111111110000000000000000000000000000000000000000111111100000000000000000000111111111110000000000000000000000000000000000000000000000000000
data_process/CTT5-1-4/16CTT.wav,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111100000000001111000111000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111100000000000000000000000000000000001111101111000000000011100000000000000000000000000011100000000000000000000000000000000000000111000000000000000000000000000000000000000000000000000000000000000011111110111100000011111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000111000000000000000000000000000000000000000000000000000000000000000000000
data_process/CTT5-1-4/19CTT.wav,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
data_process/CTT5-1-4/22CTT.wav,00000000000000011111111111111111111111111110000000001111111111111111111110000000000000000000000000000000001111110001111111111111111111110000000000000000000001111111111111111111111000011111111000111111111110011111100000000000000000000000000000001111111111111111111111111001111111111111111111111111111111110011111111111011111111111111111111111111111111111111111111111111001111001111111100111110000000000000000000111111111111111111111111111111111110000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111100000000000000000000000000000000001111111111110000000000000000000000000000111111111111111111101111111011110000000000000000000000000000000000000000000000111111111111111111111111111111111000000000011110011111111110000000000000000000000011111111111000000000011111111110000000000000
data_process/CTT5-1-4/28CTT.wav,000000000000000011111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000111111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111000000000000000000000000000000000000000000000000000001111111111111111111111111000111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111100000000000000000000000000000000000000000000000000000000000000111100000000000000000000000000011111000000000000000
data_process/CTT5-1-4/33CTT.wav,00000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111110000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111100000000001111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111101111111111111111111111000000000000000000000000000000000000001111111011100000111110011110000000000011111111111100000000000000000000000000000000001111111111100000000000000000000001111011111111110000000000000000001110011111110011110111111110000000000000000000000000000000000000000000000000000000000000011111000001111111000000000000011111111111111111111110000000000000000000000000000000000011111000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111100011111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111100000000000000000000000000000000000000000000000000000000000000000000000111111111111111111000111111111111111111111111111111111111111100000000000000000000000000000000111000000000000000000111111111111111111111111100000000000000000000000000000000000000000000000000000000000000000000001111111111110000000000000000000000000000000111111111111110000000000000000000000000000000000000000000000111111101111111111100000000000000000000000000000000000000000000000000000111111111111111111111111111111111111110000001111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111100000000000000111111111111111100111111111101111111111111111110111111101111000000000000000000000000000000000000000000000001111110000000000000000000000011111111110011111100000000000000000000000000000000000000000000000000000000111111111111111111100000000011111000000001111111111111111111111111111111111111111111100000000000000000000000000000000000000001110000111001111111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110111111111111111111111111111111111111111111111111111000000000000000111111110000011111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000111111111110000111111111111110000111111111110000001111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111001111111111111111100111111111111111111110000000000000000000000000000000000000011111111111110000000000000000000000000000000000000000000000000000000000000000000111111111111000000000000000000000000000000000000000000011111111011111111110011111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111100000000000000000000000000000000000000000000000000000000000000
data_process/CTT5-1-4/34CTT.wav,000000000000000000000000000000000000000000000000000000000000000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111000011110111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111100000011110000000000000000000000000000000000000001111111110000000011111111111011110000000000000111011111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
data_process/CTT5-1-4/35CTT.wav,00000000000000001110011111111000000000000000000000000000000000000000000000000000000111111111101111111111111110000111100000000000000000000000000000000000111110011111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111100000000111111100111111110000000000000011111111111111111100000000000000000000000000000000000000111110011111100000000000000000000000000000000000000001110000000111000000000000000000000000000000000000000001111111011111111111111111111111111110011110000000000000000000000000000000000000000000000000000000000000000011111111111111011111100000000000000000000000001111110000111000111111111111111000000000000000011111111111100000000000000000000000000000000000000000000000001111111111111111111111111111100011110000000000000000000000000000000001111111100000011111100000011110000000000000000000111100000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111100000000000000000000000000001111111111111111111111111001111110000000000111111000000000000000000000000000000000111111111111101111111111110111100000000000000000000000000000000000000000011111111111101111110000000000000000000000000000000000000000000000000001111111111111111111111001111101111111111111100000000000000000011111111111110111111100000000000000000000000000000000000000000000000011111111110000000000000000000111011110000000000000000000000000000000
data_process/CTT5-1-4/40CTT.wav,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
data_process/CTT5-1-4/42CTT.wav,00000000000000000111111111111111111111111111111111111111111111111111111111111111111111000000000000000000000000111111111111111111111111111111111111111111111111111111111111100000111111111111111111111111111111111111111111111000000000011111111111111111111111111111000000000000000001111111111111111111111111111111111111111111111111111111111111000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111110000111111111111111111111111111110000000000000011111111111111111111110111111111111110000000000111111111111111111111111111111111111111111100000000000000000000000000000001111111111111111111111111111111111111111101111000000000000000000000000000000000000000011111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111000000000000111111111111111111111110000000000000
